"","segment_id","month","weekday","hour","max_speed","coordinates","X","Y","street","place","province","pct_up","lorry","pedestrian","bike","car","bucket0","bucket1","bucket2","bucket3","bucket4","bucket5","bucket6","bucket7","expectedfine","speederrisk","roadrisk","riskscore","expectedfinescaled"
"31",24948,12,"Saturday",14,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.79,0,0,25,100,3,7,12,33,42,4,2,0,212.8,0.1,3.5,0.0344371115033382,0.00136078202335327
"32",24948,12,"Saturday",15,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.8,0,2,23,96,4,8,18,42,25,2,0,0,42.4,0.02,3.36,0.0323267592663648,0.000271133260292193
"33",24948,12,"Saturday",16,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.79,0,2,28,76,4,0,6,37,24,6,2,0,255.2,0.12,3.66,0.0361637633335891,0.00163191528364546
"34",24948,12,"Saturday",17,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.16,0,0,6,119,0,0,32,69,19,0,0,0,0,0,1.79,0.0170746680991482,0
"35",24948,12,"Sunday",10,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.55,0,7,11,58,4,4,6,29,13,4,0,0,84.8,0.04,2.03,0.0197605709462052,0.000542266520584386
"36",24948,12,"Sunday",11,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.54,0,23,25,87,8,4,8,42,21,6,2,0,255.2,0.12,4.52,0.0444133220781214,0.00163191528364546
"37",24948,12,"Sunday",12,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.79,0,13,9,88,7,2,13,30,35,3,2,0,191.6,0.09,2.43,0.0240772005218326,0.00122521539320717
"38",24948,12,"Sunday",13,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.77,0,6,4,60,3,2,8,29,17,3,0,0,63.6,0.03,1.3,0.0126621134218402,0.000406699890438289
"39",24948,12,"Sunday",14,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.64,0,2,5,69,10,4,7,24,21,5,2,0,234,0.11,1.29,0.0133335891336045,0.00149634865349937
"40",24948,12,"Sunday",15,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.51,0,0,8,48,16,2,6,10,10,4,0,0,84.8,0.04,1.28,0.0125661883201596,0.000542266520584386
"41",24948,12,"Sunday",16,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.37,0,0,0,76,19,0,6,43,9,0,0,0,0,0,0.76,0.00719438262604559,0
"42",24948,12,"Sunday",17,50,"[4.475772159548538, 51.30211396173583]",4.47577215954854,51.3021139617358,"Hoge Kaart","Brasschaat","Antwerpen",0.12,0,0,8,76,17,9,26,17,9,0,0,0,0,0,1.56,0.0148683907604942,0
